C₅H₄O₂S|b-thiophenic acid
C₅H₅−|cyclopentadienyl anion
C₅H₅BrN₂|2-amino-5-bromopyridine
C₅H₅ClN₂|2-amino-4-chloropyridine
C₅H₅IN₂|2-amino-5-iodopyridine
C₅H₅N|pyridine
C₅H₅NO|2-pyridone
C₅H₅N₃O|pyrazinamide
C₅H₅N₃O₂|2-amino-nitropyridine
C₅H₅N₅|adenine
C₅H₅N₅O|guanine
C₅H₆BNO₂|3-pyridinylboronic acid
C₅H₆N₂|1,2-diazepine
C₅H₆N₂OS|methylthiouracil
C₅H₆N₂O₂|thymine
C₅H₆O|cyclopentenone
C₅H₆O₅|α-Ketoglutaric acid
C₅H₇N₃|3,4-diaminopyridine
C₅H₈O₂|gamma-Valerolactone
C₅H₉NO|3-Dimethylaminoacrolein
C₅H₉NO₂|allylglycine
C₅H₉NO₂|proline
C₅H₉NO₄|glutamic acid
C₅H₁₀|cyclopentane
C₅H₁₀N₂O₃|glutamine
C₅H₁₀O₂|pivalic acid
C₅H₁₀O₂|valeric acid
C₅H₁₀O₂|3-Methylbutanoic acid
C₅H₁₀O₄|deoxyribose
C₅H₁₁NO₂|valine
C₅H₁₁NO₂S|methionine
C₅H₁₂|pentane
C₅H₁₂O₂|neopentyl glycol
C₅H₁₂O₄|pentaerythritol
C₅H₁₂O₅|xylitol
C₅H₁₃N|N,N-diethylmethylamine
C₆F₅COOH|pentafluorobenzoic acid
C₆H₂Cl₃NO|2,6-Dichloroquinone-4-chloroimideGibbs reagent
C₆H₃Br₃O|2,4,6-Tribromophenol
C₆H₃Cl₃O|2,4,6-Trichlorophenol
C₆H₄BrNO₂|5-bromonicotinic acid
C₆H₄ClNO₂|2-chloronicotinic acid
C₆H₄ClN₃|4-Chlorophenyl azide
C₆H₄ClNO₂|6-chloro-2-pyridinecarboxylic acid
C₆H₄N₄|tricyanoaminopropene
C₆H₄O₂|orthobenzoquinone
C₆H₅Br|bromobenzene
C₆H₅CHO|benzaldehyde
C₆H₅CH₂OH|benzyl alcohol
C₆H₅Cl|chlorobenzene
C₆H₅COCl|benzoyl chloride
C₆H₅COO−|benzoate ion
C₆H₅COOH|benzoic acid
C₆H₅F|fluorobenzene
C₆H₅I|iodobenzene
C₆H₅NO₂|picolinic acid
C₆H₅NO₃|4-nitrophenol
C₆H₅OH|phenol
C₆H₅O₇₃−|citrate ion
C₆H₅NO₄|Citrazinic acid
(C₆H₅)₄Ge|tetraphenylgermane
(C₆H₅)₂O|diphenyl ether
(C₆H₅)₃N|triphenylamine
(C₆H₅)₃P|triphenylphosphine
C₆H₆|benzene
